algorithm,FOV,noise,epsilon,scene,userIdx,psnr_mean,psnr_lb,psnr_ub,ssim_mean,ssim_lb,ssim_ub,vmaf_mean,vmaf_lb,vmaf_ub
Disturber,115,6,33.333333333333336,Gallery,1,17.729601584000008,17.622015346697907,17.83718782130211,0.3360867199999997,0.3297044389544424,0.34246900104555694,9.16041937800001,8.726293978186112,9.594544777813907
Disturber,115,6,33.333333333333336,Gallery,2,17.245488521999984,17.15031816324423,17.34065888075574,0.311828896,0.303800538571572,0.319857253428428,7.103824181999999,6.771552936768089,7.43609542723191
Disturber,115,6,33.333333333333336,Gallery,3,17.60060149999999,17.483676473276486,17.717526526723493,0.34487589199999985,0.3381531949611118,0.3515985890388879,9.802699766000014,9.30471590223753,10.300683629762498
Disturber,115,6,33.333333333333336,Gallery,4,17.504408859999984,17.39113632936393,17.617681390636037,0.33867464200000014,0.3306555820980413,0.346693701901959,7.4203466700000025,7.028605044012391,7.812088295987614
Disturber,115,6,33.333333333333336,Gallery,5,18.027910964000007,17.905894894368334,18.14992703363168,0.3615811940000002,0.3539791171034504,0.36918327089655,9.668428726000007,9.252123634249042,10.084733817750973
Disturber,115,6,33.333333333333336,Nature,0,18.664992047999984,18.555582129405877,18.77440196659409,0.36970468399999984,0.3655737026048876,0.3738356653951121,8.725085637999998,8.425941928540905,9.024229347459091
Disturber,115,6,33.333333333333336,Nature,1,18.514680788000017,18.427201713999615,18.60215986200042,0.3684933639999999,0.36441806055301895,0.3725686674469808,9.465756525999996,9.115876591708851,9.815636460291142
Disturber,115,6,33.333333333333336,Nature,2,19.10753720199999,19.004792184239868,19.21028221976011,0.37907797400000065,0.37434100214489463,0.38381494585510667,9.443955002000012,9.09196770196422,9.795942302035803
Disturber,115,6,33.333333333333336,Nature,3,17.386630228000005,17.249779735519123,17.523480720480887,0.3125860800000001,0.30928976368455185,0.31588239631544834,8.343571105999995,8.08571175883788,8.601430453162111
Disturber,115,6,33.333333333333336,Nature,4,18.67354924400002,18.579939929517035,18.767158558483008,0.36261351200000014,0.35926037623926976,0.3659666477607305,8.518991470000005,8.220272249215796,8.817710690784214
Disturber,115,6,33.333333333333336,Nature,5,19.282876923999993,19.19550825536987,19.370245592630116,0.37214770400000025,0.36832777994637006,0.37596762805363043,9.002777402000005,8.742829523000445,9.262725280999565
Disturber,115,6,33.333333333333336,Office,0,17.74272349199999,17.659601862439363,17.825845121560615,0.282157942,0.27676608495405075,0.28754979904594924,8.437256972000002,8.22695967942596,8.647554264574044
Disturber,115,6,33.333333333333336,Office,1,18.43757619,18.330652515471932,18.54449986452807,0.3134386060000001,0.30743609758003965,0.3194411144199606,8.692659108000012,8.37054675148992,9.014771464510103
